agent,lang,task,rep,stratum,label,accepted_round,draft0_ok,py_compile_draft0,unresolved_draft0,rounds_run
author-frontier,L,s1-clamp,1,S1,6,0,True,,False,1
author-frontier,L,s1-clamp,2,S1,6,0,True,,False,1
author-frontier,L,s1-clamp,3,S1,6,0,True,,False,1
author-frontier,L,s1-manhattan,1,S1,6,0,True,,False,1
author-frontier,L,s1-manhattan,2,S1,6,0,True,,False,1
author-frontier,L,s1-manhattan,3,S1,6,0,True,,False,1
author-frontier,L,s1-scale-rect,1,S1,6,0,True,,False,1
author-frontier,L,s1-scale-rect,2,S1,6,0,True,,False,1
author-frontier,L,s1-scale-rect,3,S1,6,0,True,,False,1
author-frontier,L,s1-leap-label,1,S1,6,0,True,,False,1
author-frontier,L,s1-leap-label,2,S1,6,0,True,,False,1
author-frontier,L,s1-leap-label,3,S1,6,0,True,,False,1
author-frontier,L,s2-sum-evens,1,S2,6,0,True,,False,1
author-frontier,L,s2-sum-evens,2,S2,6,0,True,,False,1
author-frontier,L,s2-sum-evens,3,S2,6,0,True,,False,1
author-frontier,L,s2-count-above,1,S2,6,0,True,,False,1
author-frontier,L,s2-count-above,2,S2,6,0,True,,False,1
author-frontier,L,s2-count-above,3,S2,6,0,True,,False,1
author-frontier,L,s2-max,1,S2,6,0,True,,False,1
author-frontier,L,s2-max,2,S2,6,0,True,,False,1
author-frontier,L,s2-max,3,S2,6,0,True,,False,1
author-frontier,L,s2-dot,1,S2,6,0,True,,False,1
author-frontier,L,s2-dot,2,S2,6,0,True,,False,1
author-frontier,L,s2-dot,3,S2,6,0,True,,False,1
author-frontier,L,s3-grade,1,S3,6,0,True,,False,1
author-frontier,L,s3-grade,2,S3,6,0,True,,False,1
author-frontier,L,s3-grade,3,S3,6,0,True,,False,1
author-frontier,L,s3-fizz,1,S3,6,0,True,,False,1
author-frontier,L,s3-fizz,2,S3,6,0,True,,False,1
author-frontier,L,s3-fizz,3,S3,6,0,True,,False,1
author-frontier,L,s3-move,1,S3,6,0,True,,False,1
author-frontier,L,s3-move,2,S3,6,0,True,,False,1
author-frontier,L,s3-move,3,S3,6,0,True,,False,1
author-frontier,L,s3-tax,1,S3,6,0,True,,False,1
